1.71,3
0.94,4
1.67,3
0.64,2
0.13,3
1.27,3
0.51,2
1.69,3
0.54,1
1.16,3
0.78,2
1.28,2
0.99,3
1.05,1
0.34,1
0.89,4
1.36,3
1.94,3
0.23,3
0.72,3
1.15,3
0.77,4
1.01,1
0.57,1
1.86,3
0.68,4
1.62,3
1.13,3
1.48,4
-0.04,3
1.03,1
0.82,3
0.94,4
0.96,3
0.64,3
1.78,3
0.58,3
1.57,4
2.53,4
0.71,4
1.24,3
1.53,4
1.31,2
0.84,4
1.52,4
0.8,1
1.0,1
1.09,4
0.59,4
0.91,3
0.52,3
1.89,3
0.43,4
1.65,3
1.13,3
0.21,4
0.3,4
1.13,2
1.01,4
0.08,4
0.57,2
0.57,2
1.34,3
0.42,4
0.13,1
0.84,3
0.59,4
0.61,4
0.73,3
0.84,2
0.94,4
0.61,2
0.13,1
2.07,1
0.9,3
0.78,1
0.98,2
1.73,4
0.84,1
1.07,3
0.92,4
1.01,4
1.39,4
1.42,2
1.29,4
0.98,2
0.49,4
1.16,2
1.09,3
2.95,4
1.27,2
1.12,3
0.94,2
0.81,3
1.59,3
0.76,3
1.33,2
1.2,4
1.13,2
0.35,4
0.57,2
1.17,3
1.23,4
0.28,4
2.88,4
0.41,4
0.3,3
0.29,2
0.29,2
0.99,4
0.81,4
0.97,3
1.18,3
1.34,2
1.54,3
0.94,2
0.32,3
0.97,1
1.11,3
-0.01,4
1.34,4
1.13,1
0.9,2
-0.01,1
1.56,1
1.02,2
0.86,4
0.91,1
1.08,1
0.97,3
1.7,4
0.44,4
1.5,3
1.5,3
1.28,3
2.34,3
0.73,3
1.77,3
0.96,3
0.87,2
0.94,3
1.73,4
0.91,3
0.53,4
0.77,3
0.87,3
0.17,3
1.04,3
-0.37,4
1.05,3
1.55,3
1.17,4
0.51,4
1.8,4
0.21,3
0.33,3
1.3,3
1.19,2
1.61,3
1.67,2
0.8,4
0.91,4
1.36,3
1.84,1
0.32,4
1.37,3
1.35,3
1.08,1
0.68,3
0.97,3
2.06,1
0.52,3
0.38,4
1.48,3
0.89,4
1.01,2
0.19,3
0.35,1
0.54,2
0.75,3
0.78,3
1.14,3
1.65,4
0.97,3
0.34,4
0.62,3
0.56,3
1.27,3
0.95,4
0.72,3
0.72,3
0.7,3
0.65,4
-0.14,4
1.2,4
1.07,2
1.18,3
0.74,3
0.78,4
1.14,3
0.67,3
1.09,4
1.3,3
1.41,4
0.35,3
0.51,2
1.13,4
0.41,4
1.43,2
0.07,4
3.93,1
1.65,4
0.53,3
1.4,3
0.27,3
2.1,2
0.16,4
1.0,4
1.03,4
0.69,4
1.67,1
1.16,2
0.33,3
1.74,2
1.71,2
0.92,3
0.55,2
1.33,3
1.02,1
2.06,4
2.99,4
0.3,3
2.04,4
2.32,1
0.97,1
1.35,3
0.99,1
0.32,1
0.47,4
1.64,4
0.71,4
1.28,4
0.56,3
1.56,4
0.97,4
0.12,1
1.67,1
1.09,3
0.45,3
1.66,2
0.15,3
0.47,3
1.5,3
0.71,3
0.95,1
1.07,3
1.25,3
1.51,3
1.64,4
0.26,1
0.16,1
1.38,3
1.18,3
0.82,4
1.48,2
0.48,3
0.18,3
1.44,4
0.86,4
0.64,2
1.16,3
1.12,3
1.39,2
0.78,2
0.52,4
0.19,4
0.94,4
1.13,3
