371.31,0.86,20.88,17.79,-28.69,4
20.71,0.91,1.01,18.33,20.71,1
28.68,1.08,2.69,10.41,28.68,1
47.2,0.97,2.19,21.17,47.2,3
84.33,1.7,1.99,40.97,84.33,4
7.25,0.44,0.38,15.49,7.25,4
21.0,1.5,0.62,31.19,21.0,3
21.0,1.5,0.62,31.19,21.0,3
53.77,1.28,1.98,26.43,0.37,3
43.29,2.34,1.62,19.96,43.29,3
3082.75,0.73,126.4,25.36,3082.75,3
18.47,0.96,0.89,21.07,-1.23,3
123.94,0.87,4.51,24.06,123.94,2
130.0,0.94,3.85,31.58,130.0,3
105.3,1.73,-2.16,-42.38,12.3,4
99.43,0.91,4.96,19.2,99.43,3
37.17,0.53,2.28,18.14,37.17,4
43.33,0.77,2.34,17.59,43.33,3
84.87,0.87,2.48,31.16,84.87,3
19.0,0.17,0.79,21.3,19.0,3
147.84,1.04,6.24,21.77,147.84,3
35.3,-0.37,1.44,23.21,35.3,4
53.67,1.05,2.63,19.86,53.67,3
56.5,1.55,3.27,16.64,56.5,3
130.56,1.17,10.04,13.26,130.56,4
27.2,0.51,1.11,20.42,27.2,4
164.71,1.8,5.99,24.92,164.71,4
116.0,0.21,3.7,29.37,116.0,3
38.0,0.33,1.47,24.07,38.0,3
55.45,1.3,2.4,23.0,55.45,3
35.81,1.19,1.1,32.09,35.81,2
